id,site,title,company,location,date_posted,job_url,salary_range
seek_89146337,Seek,2x Senior DevOps Engineer - Azure/Bicep,Talenza,Sydney NSW,Recent,https://www.seek.com.au/job/89146337?type=standard&ref=search-standalone&origin=cardTitle,100000-150000
seek_89145975,Seek,Senior Developer,Churches of Christ,Kenmore,Recent,https://www.seek.com.au/job/89145975?type=standard&ref=search-standalone&origin=cardTitle,100000-150000
gd-1009741078011,glassdoor,Software Engineers/Developers TSPV,Leidos,Canberra,2025-05-14,https://www.glassdoor.com.au/job-listing/j?jl=1009741078011,N/A
gd-1009714669487,glassdoor,Microsoft Dynamics AX/ D365 Developer,Dynax,Sydney,2025-04-19,https://www.glassdoor.com.au/job-listing/j?jl=1009714669487,N/A
in-f58fa78e497c9ea7,indeed,Systems and Software Engineering,Downer Group,"Canberra, ACT, AU",2025-12-15,https://au.indeed.com/viewjob?jk=f58fa78e497c9ea7,N/A
in-a273a8d04a1efa93,indeed,Senior Systems Developer,Sparke Helmore Lawyers,"Sydney, NSW, AU",2025-12-14,https://au.indeed.com/viewjob?jk=a273a8d04a1efa93,N/A
li-4325348354,linkedin,"Software Engineer, Google Maps",Google,"Sydney, New South Wales, Australia",2025-12-03,https://www.linkedin.com/jobs/view/4325348354,N/A
li-4343583867,linkedin,Software Engineer (Junior & Mid-level),Ofload,"Sydney, New South Wales, Australia",,https://www.linkedin.com/jobs/view/4343583867,N/A
